;; -*- coding: utf-8 -*-

[Parameter]
first-char=bcdfghjklmnpqrstvwxyz
total-char=abcdefghijklmnopqrstuvwxyz

[Punctuation]
{ 『
ynua 鸳 歶 妴 礿 鸑 鴛
ynue 鴩 牪 祅 鴁 袘 妷
ynui 娫 鶂 鶃 婣 嬩 鸒 裫
ynuo 姚 媛 鹞 鹆 姶 嫍 婾 鵌 弇 媱 婬 褕 鶢 禐 褑 禴 鸙 鷂 鵒
yo 意
yoa 谊
yoao 谚
yoau 诣
yoe 於
yoeo 翊
yoeu 奕
yoi 阈
yoo 愉
yooa 寓
yooe 渔
yooi 怡
you 烨
youe 猷
youu 煜
yp 月
ypa 鱼
ypaa 胤 箹
ypai 魚
ypao 笖
ype 夭
ypea 毓 笌
ypee 竽 笎
ypei 筠 篶 籆
ypi 影
ypia 禹 粤 筃 籰 筼 篔 粵
ypiu 乑
ypo 釉
ypoa 牖
ypoe 箷 籝 籯 牗 箊
ypoo 食 箢 乂 彮
ypou 爻
ypu 筵
ypua 籎 笫 簷
ypue 簃
ypui 籅 篗
ypuo 筄 籥 籲
ypuu 篽 籞
yq 由
yqa 曳
yqaa 猭 狕
yqao 曜 狁 獝
yqau 妟 旸 曵
yqe 犹
yqea 欤 狘 犽
yqee 猰 狋
yqei 猿 氩 歖 獟 曣 曅 敼 曀 歅 暎 氬 曄
yqeu 欹 猗 晻 旲 昜 犾 猌 獂
yqi 曰
yqia 映 氲 氤 禺 曮 猒 暥 氜 氱 暍 欭 敡 晹 曎 歝 暘 氳
yqie 猇 艶 朄
yqii 曗 曱
yqo 狱
yqoa 晕 暈
yqoe 昱 狺 景 暆 獄
yqoo 晏 狖
yqou 氧 猷 敥 獈 猶
yqu 易
yqua 昀 欥 曕
yque 昳
yqui 晔 晲 歍 猚 狿 歟
yquo 欲 狳 龡 昖 猺 暚 歈 猨
yquu 歋
yr 以
yra 亿
yrae 伊
yrao 俑 僪 佁 伃
yre 优
yrea 伢 侥 俓 侇
yree 余 畲 伝
yrei 俞 俨 偃 龠 俹 傿 偠 倻 偞 僷 偀 僌 兪 儥 僥 傴
yreu 倚 佑 伛 侑 傆 優
yri 攸
yria 俣 佒 伿 俋 傊 儼 俁
yro 依
yroa 侌
yroe 偣 偐 偯 俼 億 傭
yroo 傛
yrou 仪 佯 偤 儀
yru 仰
yrua 佣 儗 伇
yrue 佚 仸 仡
yrui 偊
yruo 佾 傟 倄 傜
ys 业
ysa 幽
ysaa 幺 岰
ysae 嶎
ysao 饴 峄 硧 飴
ysau 岃
yse 研
ysea 屿 砑 岈 峫 峣 峓
ysee 豜 豣 硏 砡
ysei 硬 荥 崾 射 躽 尭 嶤 馌 豷 饐 碤 峿 饇 矱 鼴 嶢 饁
yseu 崖 岩 崦 崕 揅 硽 軅 餣 擪 殹 飮 峟 饜
ysi 砚
ysia 鼹 鼬 喦 嵒 嵓 碞 巖 巗 礹 崵 岟 巊 嵎 贠 磒 硯 嶧 貟
ysie 巚 巘
ysii 嶪 嶫 礏
yso 毅
ysoa 餫
ysoe 饔 嵃 崺 訔 軈
ysoo 巌 峾 嵱 軉
ysou 礢 嶬 礒 礯 巆 禜 滎
ysu 允
ysua 饮 嶷 么 豛 砽 岄 礙 飲 嶽
ysue 矣 屹 尾 饫 岆 矨 飫
ysui 岳 峳 礖 礇 礜 嶼
ysuo 馀 峪 嵛 崄 崤 嶖 殽 餆 磘 餚 崟 崯 碒 嶾 硢 嶮 崳 餘
ysuu 殷 磤 禦
yt 域
yta 垠
ytaa 圠
ytae 圯
ytao 埇
yte 垣
ytei 堰 茔 垭 堙 墕 垚 埜 壄 墷 埡 堯 異
yteu 塬 堐 壓
yti 袁
ytia 埸 壛 壧 坱 夁 墿 堣 鼘
yto 壹
ytoa 懿 壱
ytoe 墉 壅 畩 堉
ytoo 垸 垽 塎
ytou 垟 塋
ytu 圻
ytua 坄 畇
ytue 圪 塩 圫
ytui 埏
ytuo 埶 堬 畬 畭
ytuu 垼
yu 用
yua 印
yuae 胭
yuai 乐
yuau 颖
yue 秧
yuee 氲
yui 邀
yuia 粤
yuie 佑
yuio 佯
yuo 逾
yuoe 觎
yuoo 鹞
yuu 衙
yv 于
yva 云
yvaa 肊 耴 聈 亐
yvai 耶 阤
yvao 鲬 霱 鱊 阭 鯒
yve 腰
yvea 尧 胰 邪 鮧
yvee 雩 霒 邘 邧 魭 耺 雲
yvei 艳 鄢 鄞 郾 邒 聐 臙 鰋 隁 酀 艷 豓 陻 朠 霙
yveu 郁 羿 腌 翳 鱿 頨 陭 鄾 肬 陓 魷
yvi 阳
yvia 翼 邮 胭 隅 郢 陨 郧 鱦 胦 雵 鰑 霷 膶 霬 鯣 阥 鲉 鰅 霣 陽 鮋 鄖 隕
yvie 阽
yvii 刖 鄴
yvo 院
yvoa 郓 腪 鄆
yvoe 翌 臆 腋 臃 鳙 霠 鄘 鯲 鱅
yvoo 霪 鰫
yvou 媵 隒 阦 膉 膡
yvu 元
yvua 阴 隐 印 肄 陶 翑 卬 鮨 鮣
yvue 胣 阣 郵
yvui 腴 聥 鱮 郔 鄓 鷠 鄅 隩
yvuo 肴 鳐 雽 鄃 腧 隂 隠 隃 鮽 鰩 陰 隱
yw 玉
ywa 育
ywaa 雍
ywae 珢
ywai 郼
ywao 珆 瓵 袬 玧
ywau 玚
ywe 莹
ywea 琊 玡 玙
ywee 玗
ywei 瑛 瑘 玴 敔 琙
yweu 瑿 憂
ywi 韫
ywia 璎 珚 敭 裛 斁 甖 亴 斔 螤 瑒 瓔 韞
ywie 甗
ywo 彦
ywoa 韗
ywoe 琂
ywoo 璌 珱
ywou 琰 珜 甇 瑩
ywu 夜
ywua 玥 袲 褎 瑤
ywui 亦 亪 亱 瑀 鳿 璵
ywuo 瑶 瑜 瑗 兖 珧 玪 兗 彥
yx 要
yxa 窈
yxaa 乵 夗
yxai 辥
yxao 恿
yxe 愿
yxee 窫 穻
yxei 萦 垔 彟 彠
yxeo 慭
yxeu 耀 懕 厳 繄 悘 憗 憖
yxi 愚
yxia 窅
yxo 夤
yxoa 蛍 営
yxoe 窨 窔 應
yxoo 慂 惌
yxou 彛 彜 彞 窯 縈
yxu 愈
yxua 怨 乐 郺
yxue 窑 穾 怣
yxui 悠 惥 鴪
yxuo 繇 窬 窰 悆 慾
yxuu 尹 窳 慇
yy 议
yya 预
yyaa 羗 詏 酳
yyae 羛 訳 頵
yyai 邺 酏 訑 讔
yyao 译 甬 诒 詒 預
yyau 劷
yye 语
yyea 讶 羠 訝
yyee 酝 訮 酑 酛
yyei 亚 颐 酽 谳 頣 讌 醼 顤 詍 讛 諲 韾 韺 醧 頤 語
yyeo 謣
yyeu 友 訧 酭 羱 謜 醃 醫 願
yyi 谒
yyia 裔 諹 詇 顗 訲 醳 譻 颙 醖 釅 謁 譯 顒 醞 韻
yyie 頥 讞
yyo 尤
yyoa 恙 羪 羕 悥 詠
yyoe 颜 谚 顡 羡 顔 譩 醷 譍 顏 諺
yyoo 誉 谊 詑 誼
yyou 说 谥 謚 説 顃 褮 謍 醟 業 議
yyu 疑
yyua 韵 颖 诣 颍 譺 誃 颕 羑 謠 詣 潁 穎 頴
yyue 诱 訞 謻 義 誘
yyui 谀 鴹 顊 諛 譽
yyuo 谣 谕 韽 酓 顩 醶 謡 讑 訡 羭 龥 說 諭
yyuu 羏
yz 又
yza 乙
yzaa 乚 雝 孧
yzao 踊 趯 踴 躍
yzau 孕
yze 越
yzea 雅 跠 隿
yzee 聿 爰 趼 雃
yzei 孲 跇 亄 罭
yzeu 罨 踦
yzi 邕
yzia 孾
yzo 予
yzoa 豫 矞
yzoe 羽 艈 牅
yzoo 貁
yzou 舣 艗 艤
yzu 跃
yzua 跀
yzue 艞
yzui 舀 趭
yzuo 赺 趛 艅 雓 踰 貐
z 在
za 子
zaa 骤
zaae 纣
zae 粥
zai 阻
zb 则
zba 瘬
zbe 责
zbea 兹 皂 戝
zbee 贼 赘 賛 皟 瘈 責 賊 贅
zbei 症 痣 贽 痔 齄 賳 贜 皁 痮 鬒 疛 賾 賬 贄
zbeu 赈 瘃 贓 賑
zbi 占
zbia 桌 卓 贞 曾 曽 疻 貞
zbie 髭 赀 齇 貲
zbii 則
zbo 资
zboe 赃 瘴 疰 賍 賘 資
zboo 贮 鬃 貯
zbou 赠 赚 贈 賺
zbu 赞
zbua 瘵 眞 鬇 疷 赒 賙
zbue 账 痄 贊 瘇
zbuo 疹 鬠 髽 鬉 疭
zbuu 质 癥 貭 瘲 質
zc 著
zca 蒸
zcaa 轧 辎 菑 蔠 荮 蒃 蠿 葘 輺 軋 葤 茲 輜
zcae 辗 轏 菷 蠾 蟤 輾
zcai 茁 虸 芓 莊
zcao 蚤 蝃 芧 蠗
zce 征
zcea 轾 蛭 菚 輚 厔 輊
zcee 转 蓁 蔶 轃 転
zcei 载 辄 蛰 蘸 赭 蜇 蜡 薵 齱 螫 齰 蚻 輙 蒖 薽 萙 徰 徔 蘵 徝 蝫 茿 専 衠 菆 載 輒 蟄 專 轉
zceu 藏 葬 蔵 蒧 塟 葴 蜄 芖 藸 蓫
zci 芷
zcia 轴 徵 蕞 轵 萴 薥 蠌 蠈 辴 徴 蚛 蠋 莇 繤 葃 軹 軸
zcie 龇 茈 蛅 徏 蟕 齜
zcii 轛
zco 尊
zcoa 芝
zcoe 辙 蔗 蟑 蛀 薋 蠀 藷 蔁 蟅 蟙 蠩 軴 荘 蓙 轍
zcoo 藻 苎 菹 薴 菬 薻 螲 茡 苧
zcu 斩
zcua 螽 蕏 厎 薝 茋 徟 輖 彴 齺 葄
zcue 蛛 茱 蜘 蚱 蝩 齚 厏 苲 厇 虴 蒩 厜
zcui 萑 茽 茊
zcuo 仄 轸 彸 葼 蝬 葅 從 軫
zcuu 藢 辀 蓗 斬 輈
zd 之
zda 治
zdaa 淄 湽
zdae 争 涨 潳 沢 灟 漲
zdai 奘 滍
zdao 泽 濯 濢
zdau 沼
zde 浙
zdea 沌 洷
zdee 渍 溱 濽 殝 漬
zdei 滞 湛 殖 汁 斟 渣 渚 沞 渽 洅 涱 汥 洔 淽
zdeu 詹 涿 滯 瀦
zdi 召
zdia 澡 浊 浞 漴 潀 潈 溭 濐 澤 濁
zdie 沾 浈 沚 湞
zdo 注
zdoe 漳 澬
zdoo 滓 泞 潌
zdou 洲 滋 溠 潧
zdu 准
zdua 潴 泜 汋 奓 汦 汷 淍
zdue 洙 湩 灒 泎 淛 潪 瀄
zduo 州 汄 灂
zduu 歽 洀
ze 正
zea 辄
zee 奏
zeea 盏
zeei 琢
zei 挣
zeia 枣
zeie 栽
zeii 葬
zeiu 桩
zeo 震
zeu 砸
zeua 殖
zf 指
zfa 招
zfaa 扎 拶
zfae 撰 搌 択 搱
zfai 拙 拯
zfao 择 摺 擢 撜 捘
zfe 找
zfea 撍 挃
zfee 揍 搸
zfei 揸 挝 摂 扗 挋 揕 搘 擆 掫
zfeu 振 扙
zfi 捉
zfia 拽 撮 捑 抯 捚 抧 撾 擇
zfie 飐 摣 颭
zfo 撞
zfoa 抌
zfoe 摘 拄 摭 撤 旘 擿 捽
zfoo 挓 搾
zfou 掷 撙 撯 搃 罇 擲
zfu 抓
zfua 执 挣 搊 搩 扺 扻 揔 揝
zfue 族 攒 攥 旃 揷 旜 拃 旐 抍 攢
zfui 摠
zfuo 抸 罀 抮 捴 掙
zfuu 折
zg 张
zga 字
zgai 廌
zge 左
zgea 寁 虦 庢
zgee 宗
zgei 庄 冣 宁 弫 瓡 庤 寘 庒 胾 髒 張
zgeu 冢 臧
zgi 战
zgia 宙 曌 靻 戰
zgie 骴 寊
zgio 鞝
zgo 灾
zgoe 宰 宔
zgoo 魙 戦
zgou 粥
zgu 座
zgue 宅 宒
zgui 宱
zguo 庂
zh 再
zha 臻
zhae 肁 稺 穉 爥
zhai 屯 焋 炪 秄
zhao 夨 稄
zhau 兂 炤
zhe 灶
zhea 秷
zhei 稹 烖 煠 黰 炡 秓 秲 稙 炢 煑 烵 燪 稓
zheu 灷
zhi 种
zhia 租 烛 燥 枣 栆 燳 穝 棗 燭
zhie 焯 長
zhii 丁
zhiu 朮 鼒
zho 炷
zhoa 黕
zhoe 穜 熫 稕 秶 稡
zhoo 烢
zhou 燇 熷
zhu 炸
zhua 灼 炙 秭 秇 黵 虥 秖 秪
zhue 秩 灹 煄 秼 秨 種
zhui 稚 熜 穛
zhuo 丈 炂 穱 稯
zhuu 炿 烐 熧
zi 中
zia 咒
ziae 吱
ziai 帜
ziau 赚
zie 卓
ziei 贞
zii 凿
zio 掌
zj 组
zja 缀
zjaa 缁 锱 斲 鍿 緇 錙
zjae 纼 斸 紖
zjai 銺 釨
zjao 錣 綴
zjau 釖 巶 鉊
zje 镇
zjea 錾 纯 鐕 铚 緻 純 銍
zjee 铸 帻 觢 錱 縥 鋳 鑚 纉 幘
zjei 针 纣 缜 钲 锗 銴 帀 鉔 觰 覱 鍣 鋴 糽 綕 覟 鋕 縳 斮 斱 鐯 緅 絊 鋷 鏨 帳 鍺 針 縝 鎮 鉦 紂 鑄
zjeu 帪 鍼 紎 銌
zji 织
zjia 钟 咒 帜 镯 铡 锃 缲 鉙 凧 鈡 鋜 纗 繓 繰 鋥 鍘 觶 鐲 組
zjie 钻 帧 觜 觇 鉆 凪 鈭 覘 幀
zjii 钊 鑆 鑿 釗
zjio 幥 鐣
zjo 综
zjoa 鎺
zjoe 幢 镞 幛 綷 鏱 紸 鉒 綧 錊 織 幟 鐘 鏃
zjoo 绽 縡 纻 錝 綻 紵 綜
zjou 觯 缯 銂 镃 縂 繜 鐏 繒 鎡
zju 终
zjua 纸 铮 绉 緫 鎭 帋 觗 斵 鍯 錚 紙 終 縐
zjue 帐 锺 铢 帙 缵 緟 紩 絑 鈼 鍾 銖 鑽 纘
zjui 锥 缒 缴 幒 鏓 繳 錐 縋 總
zjuo 纵 鍐 鉁 紾 絼 釞 緃 緵 鑁 総
zjuu 锧 鑕 縦 縱
zk 只
zka 嘱
zkae 囑
zkai 匨 囝 吇 唨
zkao 噿
zke 周
zkea 啭 噆
zkee 啧 嘖
zkei 哲 哉 吱 喳 咂 喋 哳 嘲 啫 囀
zkeu 啄 嘁 咗
zki 嘴
zkia 噪 匝 嘬 咀 囎 喌 呪 噣 哫
zkie 呲 呫 囐 啅 呰
zkii 赜
zko 咨
zkoe 噈 唼 嗾 嗻
zkoo 咤
zkou 嗞 噂
zku 咱
zkua 啁 喒 噡
zkue 咋 吒 囋 喠 咮
zkui 唣 唕
zkuo 唑
zkuu 啠
zl 这
zla 耔
zlae 遟 劚
zlai 烝
zlao 慴 刣
zle 遭
zlea 迍
zlee 耫
zlei 怔 煮 忮 迣 剳 慑 剸 懥 竱 剚 懾
zleo 讋
zleu 逐 遰 剢
zli 照
zlia 助 惴 端 怞 迚 麆 劅
zlie 站 遉
zlo 遵
zloe 遮 麈 勯 邅 慞 遧 麞 詟 這
zloo 竚
zlou 憎
zlu 制
zlua 恉 週
zlue 造 怍 迮 慥 劗 劄
zlui 追
zluo 忪 惾
zluu 劕 懫
zm 杂
zma 札
zmaa 桚 椔
zmae 瞩 榐 骣 盄 樼 欘 驏 矚
zmai 籽 骘 梉 杍 騭
zmao 杼 櫂 棳
zmau 駋
zme 枝
zmea 桎 駤 盞 棧
zmee 栈 盏 榛 瞔 桟 樁
zmei 植 糟 骤 栽 栉 楂 椹 朾 柾 睵 榸 眐 榰 馶 梽 騺 驇 盩 糚 棷 棸 黀 驟
zmeu 杖 柘 粀 桭 馵 椓 櫫
zmi 闸
zmia 盅 枳 查 驵 査 矂 樿 檡 喿 柤 瞾 棏 馽 駎 柷 檛 樶 檌 欈 駔 閘 柵
zmie 毡 桢 粘 眦 棹 樝 槕 橴 楨 眥
zmii 糳
zmo 驻
zmoa 枕 槠
zmoe 柱 桩 梓 樟 粢 睟 閚 氊 驙 騿 瞕 樜 樴 粧 栥 齍 椊 氈 櫧 駐
zmoo 寨 棕 榨 粽 术 眝 榟 骔 騌
zmou 樽 驓 橧 橏 栚 眹 駲 棁
zmu 睁
zmua 瞻 栅 驺 糌 橥 栺 粂 柊 騆 睭 枠 栬 騶
zmue 株 柞 欑 栴 籷 椥 鼅 柣 駯 鼄 樦 櫡 櫛
zmui 椎 骓 梍 槜 檇 騅
zmuo 眨 枞 棆 眕 駗 梲 椶 騣 糉 睜
zmuu 栀 櫍 樅 梔
zn 整
zna 褶
znaa 鶨 鶅
znae 孎
znai 弉 娤
znao 娺
znau 妱
zne 褚
znea 祬 姪
znee 嫧 歵
znei 鸷 歭 犆 鷏 襵 禛 嫃 姃 鴊 衼 鳷 禃 娡 嫥 姉 鷙
zneu 娠 祳 裖 襧 袏
zni 祖
znia 祝 妯 鸀 鸅 禔 禵 妕 祌 衶
znie 祯 祉 媜 鵫 姕 禎
zno 姿
znoa 鸩 鴆
znoe 鹧 嫜 鹯 嫬 嬂 鷟 祽 鸇 鷓
znoo 牸 鶎
znou 禚 鹚 嫸 禌 鷷 鶿
znu 姊
znua 祗 鸱 祇 衹 鴲 鴤 婤 啙 胔 媰 鴟
znue 祚 鴩 禶 襸 祑 袟 歱 媑 袾 鴸 祩 娷 妰
znui 鴭 襍 鵻
znuo 袗 妐 衳
zo 着
zoa 诛
zoao 谆
zoau 诌
zoe 颤
zoeu 卒
zoo 滋
zooe 涨
zooi 惴
zou 糟
zouu 烛
zp 长
zpa 篆
zpae 氏 箒
zpai 篜 笜
zpao 篸
zpe 朱
zpea 簪 乇 箌
zpee 竺 箦 簮 簀
zpei 竹 筑 乍 箸 籀 簎 篿 皶 籈 籕 籒 笁 箃 築
zpeo 籗 籱
zpeu 箴 頾
zpi 纂
zpia 篹 筫 筯 簻 籑 笍
zpie 皻
zpio 隹
zpo 兆
zpoa 篧
zpoe 彰 皽 箤
zpoo 豸
zpou 爼
zpu 皱
zpua 舟 筝 笫 笉 皺
zpue 卮 笮 簉 牐 巵 籫
zpui 爪 筗 筰
zpuo 牏 箚 籦 箏
zpuu 笊
zq 最
zqa 昭
zqae 曯
zqe 早
zqea 暂 晊
zqee 獉
zqei 猪 褁 晢 晣 靕 晸 狾 昮 鼂 暫
zqeu 昃
zqi 豑
zqia 狆 斀
zqie 晫
zqo 獐
zqoe 獞 昗 暲 晬
zqoo 猔
zqu 智
zqua 旨 狰 昝 晭 犳
zque 昨 猘
zquo 晁 狣 昣 猣 猙
zr 作
zra 仔
zrae 僝 伬 僎
zrao 俊
zre 做
zrea 侄
zree 债 传 儧 債
zrei 值 傤 儎 傮 偡 佂 値 俧 倳 傳
zreu 仗 佐 偧 侲 傶
zri 仲
zria 侧 敒 伷 側
zrie 侦 倬 佔 偵
zro 住
zroa 伔
zroe 僮 倅 傽
zroo 伫 倧 佇
zrou 僔
zru 众
zrua 偬 仉 伜 偺
zrue 侏 儹 倁 偅 僽
zrui 傯
zruo 俎 从 伀 倊 侳
zruu 偫 傂 儨 侜
zs 知
zsa 足
zsaa 崰
zsae 馔 饌
zsai 矷
zsao 支 餟
zsau 劧 劯
zse 展
zsea 崭
zsee 砖 碡 飦 崝
zsei 止 砸 挚 峙 馇 磗 嶃 嶘 餦 碪 漐 嵀 叀 嶊 餷 嶄 摯 豬 磚
zseu 耑 沯 屒 硺
zsi 真
zsia 直 崽 嶉 礋 崱 沝 嶵
zsie 砧 砦 砋
zsio 掌 礃 屬
zso 昼
zsoa 疐
zsoe 嶂 斎 饘 軄 砫 殶 飳 凖 崒 崪
zsoi 咫
zsoo 碂 準
zsou 嵫 矰 磳 礈 嶟
zsu 斫
zsua 峥 磔 祭 嶦 砓 鼨 卆
zsue 砟 礸 饡 硃 篫 硾 岝 岞 飵
zsui 雉 属 磼 鴙
zsuo 嵏 嵕 崢
zsuu 嵷 崻 礩 矪 嵸 磫 豵
zt 走
zta 坠
ztaa 堟
ztai 墬 塦 墜
ztao 畷
zte 至
ztei 埴 塼 埑 臸 畤 墸 壵
zteu 坧
zti 址
ztia 喆 嚞 壴
zto 志
ztoa 塚
ztoe 墇 墌 埻
ztoo 堻 塣 坾
ztou 增 墫 壿 増 赱 執
ztu 者
ztua 埩 坁 圴
ztue 垁 堹
ztui 圳 甽
ztuo 坐 畛 垗 堫
zu 自
zua 脏
zuaa 邹
zuae 肿
zuao 炙
zuau 狰
zue 筑
zuee 铮
zuei 乍
zueo 筝
zui 佐
zuia 皂
zuie 传
zuo 坐
zuu 徵
zv 重
zva 专
zvaa 鲻 腞 耴 鯔
zvae 鯞
zvai 脀
zvao 腏 脧 朘
zve 阵
zvea 郅 肫 胵 聀
zvee 鲭 鄼 鯖
zvei 朝 肢 肘 翥 陬 鄹 鲰 鰽 臓 鮿 敶 聇 豒 鯺 陼 鄟 膞 鱄 鄑 鰦 郰 鯐 臟 脹 陣 鯫
zveu 震 奏 鱁
zvi 职
zvia 阻 肿 胄 鲗 鱡 胑 冑 膼 鰂
zvie 陟 阯
zviu 隲
zvo 郑
zvoa 肇 肈
zvoe 障 脏 鄣 霅 鳣 鱆 膱 鱣 職
zvoo 膣 霑 霔 腙 鯮
zvou 朕 鳟 羘 鱛 鄭 鱒
zvu 胀
zvua 脂 邹 胝 郮 霌 胏 鄒
zvue 邾 阼 胙 腄 臜 酂 酇 鲊 鱵 翐 鮢 臢 鮓 腫
zvui 翟 膇
zvuo 胗 雿 鮡 聄 聁 朡 翪 鯼
zw 主
zwa 瑵
zwaa 璅 瑑 玆
zwao 璻
zwe 政
zwea 致 琖
zwee 瓉
zwei 甄 瑱 瑼 甎 鬷
zweu 斋 琢 瑊
zwi 衷
zwia 璪 珇
zwie 琸
zwo 璋
zwoe 瓋
zwou 甑 璔 夈 齊 齋
zwu 珠
zwua 珎
zwue 瓒 袠 甃 甀 瓚
zwui 齐
zwuo 珍 卒 夎
zwuu 瓆 珘
zx 怎
zxa 窡
zxai 窋
zxe 窒
zxea 窀
zxei 絷 紥 竃 竈 悊 愸 慹 紮 縶 晝
zxi 紫
zxia 忠
zxie 窧
zxo 总
zxoa 帚
zxoe 恣 戆 戇
zxu 窄
zxue 彘 惣
zxui 衆
zxuo 繇
zxuu 憄
zy 证
zya 诏
zyae 譔
zyai 裝
zyao 羧 醊 叕 諁 證
zyau 戠 詔
zye 章
zyea 谮 醆 訰 譖
zyee 讃 謮 譛 诪
zyei 诸 酎 诹 謓 讘 韴 酨 醩 諎 謺 証 誌 譸 諸 諏
zyeu 诼 譇 誫 諑
zyi 诅
zyia 颛 识 譟 讝 詋 諯 顓 詛
zyie 訾 諔 詀 訨 訿 謯
zyo 装
zyoa 酖
zyoe 醉 颤 谆 谪 谘 顇 譠 讁 註 謶 顫 識 謫 諄 諮
zyoo 醡 酙 詝 羜
zyou 凿 黹 詶 譄 丵 譐
zyu 诊
zyua 酌 诌 酯 诤 谵 鲝 酔 鮺 譫 諍 謅
zyue 诈 诛 酢 譗 尰 諥 諈 讚 詐 製 誅
zyui 謢
zyuo 診
zyuu 頿
zz 置
zza 妆
zzaa 羄
zzae 蹍 爭
zzai 趉 孖
zzao 罬 隻
zzau 妝
zze 状
zzei 壮 隼 蹔 蹧 踷 跱 壯
zzeu 跖 狀
zzi 罪
zzia 躁 躅 舯 舳 甾 趮 氶 跩
zzie 罩 趾 踔 趈
zzio 趙
zzo 踪
zzoe 趑 蹢 蹱 罜 跓 孶 趦 踤 辠 雜 蹠
zzou 踯 孳 罾 牂 災 躑
zzu 赵
zzua 趂 雑 踭 鸼 赼
zzue 孜 踵 趱 舴 躜 艁 跦 踿 趲 躦
zzui 雥 眾 鵃
zzuo 艐 踨
zzuu 踬 爫 躓 蹤
